Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 8, 2021 - March 31, 2026"
Statement,Data,WhenGenerated,"2026-04-01, 17:11:42 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,1763.85
Summary,Data,Change,-1735.4662240829998
Summary,Data,Ending Cash,28.383775917
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-01-09,dm,Net Amount in Base from Forex Trade: -0.05 EUR.USD,Forex Trade Component,EUR.USD,-0.05,1.16585,USD,1.224999999999976E-4,-,1.224999999999976E-4
Transaction History,Data,2026-01-06,dm,USD IBKR Managed Securities (SYEP) for Dec-2025,Credit Interest,-,-,-,-,3.78,-,3.78
Transaction History,Data,2026-01-06,dm,EUR IBKR Managed Securities (SYEP) for Dec-2025,Credit Interest,-,-,-,-,0.058440000000000006,-,0.058440000000000006
Transaction History,Data,2025-12-30,dm,DGS(US97717W2816) Cash Dividend USD 0.57891 per Share (Ordinary Dividend),Dividend,DGS,-,-,-,33.12,-,33.12
Transaction History,Data,2025-12-30,dm,DGS(US97717W2816) Cash Dividend USD 0.57891 per Share - US Tax,Foreign Tax Withholding,DGS,-,-,-,-9.94,-,-9.94
Transaction History,Data,2025-12-30,dm,DGS(US97717W2816) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,DGS,-,-,-,75.84,-,75.84
Transaction History,Data,2025-12-30,dm,DGS(US97717W2816) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,DGS,-,-,-,-22.75,-,-22.75
Transaction History,Data,2025-12-22,dm,UBS ETF MSCI WORLD USD A-ACC,Buy,WRDUSWUSD,44.0,40.57,USD,-1785.08,-4.315200855,-1789.395200855
Transaction History,Data,2025-12-22,dm,UBS ETF MSCI WORLD USD A-ACC,Buy,WRDUSWUSD,1.0,40.67,USD,-40.67,-0.100584648,-40.770584648
Transaction History,Data,2025-12-22,dm,UBS ETF MSCI WORLD USD A-ACC,Buy,WRDUSWUSD,0.3503,40.67,USD,-14.246701,-,-14.246701
Transaction History,Data,2025-12-18,dm,AVUV(US0250728773) Cash Dividend USD 0.3813 per Share (Ordinary Dividend),Dividend,AVUV,-,-,-,178.02,-,178.02
Transaction History,Data,2025-12-18,dm,AVUV(US0250728773) Cash Dividend USD 0.3813 per Share - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-53.41,-,-53.41
Transaction History,Data,2025-12-18,dm,AVUV(US0250728773) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVUV,-,-,-,31.27,-,31.27
Transaction History,Data,2025-12-18,dm,AVUV(US0250728773) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-9.38,-,-9.38
Transaction History,Data,2025-12-18,dm,AVES(US0250723725) Cash Dividend USD 1.1037 per Share (Ordinary Dividend),Dividend,AVES,-,-,-,1022.63,-,1022.63
Transaction History,Data,2025-12-18,dm,AVES(US0250723725) Cash Dividend USD 1.1037 per Share - US Tax,Foreign Tax Withholding,AVES,-,-,-,-306.79,-,-306.79
